,数字,语音,识别,上海,北京,考试,课程,可测,科创,客车,Digital,Speech,Voice,Shanghai,Beijing,China,Course,Test,Coding,Code
数字,38,1,14,0,1,0,7,0,4,2,24,0,0,4,1,21,0,0,0,3
语音,0,105,4,0,0,0,0,0,5,0,2,0,0,0,0,1,0,0,3,0
识别,0,4,96,0,0,0,1,0,8,0,2,0,1,0,0,2,0,0,6,0
上海,0,0,0,56,0,0,3,0,9,0,1,0,4,6,0,35,0,3,0,3
北京,0,66,0,0,20,0,11,0,2,1,5,0,3,0,8,0,0,0,3,1
考试,0,1,0,0,0,41,14,4,3,30,15,0,0,0,0,6,0,0,0,6
课程,0,1,0,1,0,0,75,0,5,10,7,0,0,0,0,15,0,0,4,2
可测,1,0,0,0,0,0,6,1,52,15,31,0,1,3,0,7,0,0,0,3
科创,0,0,0,0,0,0,0,0,79,0,19,0,5,6,0,4,0,0,2,5
客车,0,0,0,1,0,0,36,0,2,67,3,0,0,0,0,8,0,0,2,1
Digital,0,0,0,0,0,0,1,0,5,0,99,0,0,1,0,6,0,1,0,7
Speech,0,7,1,0,0,0,0,0,0,0,15,75,16,0,4,0,1,0,1,0
Voice,0,0,0,0,0,0,5,0,3,0,2,0,98,0,0,2,0,0,0,10
Shanghai,0,0,0,11,0,0,0,0,11,4,7,0,22,36,0,26,0,0,3,0
Beijing,0,28,1,0,0,0,0,0,0,0,15,0,15,0,42,0,0,0,19,0
China,0,0,0,1,0,0,0,0,6,0,5,0,3,0,0,103,0,0,0,2
Course,0,0,0,0,0,0,2,0,5,0,0,0,50,1,0,10,43,1,1,7
Test,0,0,0,3,0,0,0,0,2,0,13,1,0,1,0,14,0,67,0,19
Coding,0,0,2,2,0,0,3,0,3,0,7,0,12,0,0,12,0,0,77,2
Code,0,0,0,0,0,0,1,0,9,0,16,0,0,0,0,8,0,3,2,81
